device_name,device_os,software_version,uptime,serial_number
edge-firewall01,asa,9.12(2),26 days 21 hours,9ACJJ5Q1Q1X
core-rtr01,iosxr,6.3.1,"2 days, 2 hours, 27 minutes",N/A
core-rtr02,iosxr,6.3.1,"2 days, 2 hours, 25 minutes",N/A
dist-rtr01,iosxe,16.11.1b,"3 weeks, 5 days, 21 hours, 41 minutes",9Y30J7X5QAC
dist-rtr02,iosxe,16.11.1b,"3 weeks, 5 days, 21 hours, 41 minutes",9741BQ3XSZ5
dist-sw01,nxos,9.2(3),"14 days, 16 hours, 50 minutes",91FK5ZLK8FF
dist-sw02,nxos,9.2(3),"14 days, 16 hours, 50 minutes",9CUP5WOOV6M
edge-sw01,ios,15.2(CML,"2 weeks, 5 days, 14 hours, 55 minutes",N/A
internet-rtr01,iosxe,16.11.1b,"3 weeks, 5 days, 21 hours, 41 minutes",9D6J5QHY2PZ
leaf-2,apic-N9K-C9396PX,simsw-4.1(1k),"00 days, 00 hours, 22 mins",TEP-1-102
leaf-1,apic-N9K-C9396PX,simsw-4.1(1k),"00 days, 00 hours, 22 mins",TEP-1-101
spine-1,apic-N9K-C9508,simsw-4.1(1k),"00 days, 00 hours, 22 mins",TEP-1-103
apic1,apic-VMware Virtual Platform,Unknown,"00 days, 00 hours, 22 mins",TEP-1-1
vmanage,sdwan-vmanage,19.2.2,"2 days, 11 hours, 58 minutes",969E8292C5E64183A2563B7A3605B67D
vsmart,sdwan-vsmart,19.2.2,"365 days, 6 hours, 10 minutes",4E500CAE354B4341B322C5DA4BD7588A
vbond,sdwan-vedge-cloud,19.2.2,"253 days, 1 hours, 0 minutes",7AC124B4AED648EB99B9900DD56A405C
